id,country,year,sex,age,population,country-year, gdp_for_year($) ,gdp_per_capita ($),suicides_no,generation
111,Albania,1998,male,25-34 years,240400,Albania1998,"2,70,71,23,772",899,26,Generation X
112,Albania,1998,male,35-54 years,388200,Albania1998,"2,70,71,23,772",899,29,Boomers
113,Albania,1998,male,55-74 years,183800,Albania1998,"2,70,71,23,772",899,9,Silent
114,Albania,1998,female,25-34 years,275300,Albania1998,"2,70,71,23,772",899,10,Generation X
115,Albania,1998,female,55-74 years,188200,Albania1998,"2,70,71,23,772",899,6,Silent
116,Albania,1998,female,35-54 years,372100,Albania1998,"2,70,71,23,772",899,9,Boomers
117,Albania,1998,male,5-14 years,388400,Albania1998,"2,70,71,23,772",899,2,Millenials
118,Albania,1998,female,5-14 years,363800,Albania1998,"2,70,71,23,772",899,1,Millenials
119,Albania,1998,female,75+ years,42300,Albania1998,"2,70,71,23,772",899,0,G.I. Generation
120,Albania,1999,male,75+ years,25900,Albania1999,"3,41,47,60,915",1127,3,G.I. Generation
121,Albania,1999,male,15-24 years,250600,Albania1999,"3,41,47,60,915",1127,24,Generation X
122,Albania,1999,female,75+ years,42400,Albania1999,"3,41,47,60,915",1127,4,G.I. Generation
123,Albania,1999,male,35-54 years,391100,Albania1999,"3,41,47,60,915",1127,31,Boomers
124,Albania,1999,male,25-34 years,242300,Albania1999,"3,41,47,60,915",1127,19,Generation X
125,Albania,1999,male,55-74 years,185200,Albania1999,"3,41,47,60,915",1127,14,Silent
126,Albania,1999,female,15-24 years,296800,Albania1999,"3,41,47,60,915",1127,19,Generation X
127,Albania,1999,female,25-34 years,276500,Albania1999,"3,41,47,60,915",1127,13,Generation X
128,Albania,1999,female,55-74 years,188800,Albania1999,"3,41,47,60,915",1127,6,Silent
129,Albania,1999,female,35-54 years,373600,Albania1999,"3,41,47,60,915",1127,5,Boomers
130,Albania,1999,female,5-14 years,365200,Albania1999,"3,41,47,60,915",1127,1,Millenials
131,Albania,1999,male,5-14 years,391300,Albania1999,"3,41,47,60,915",1127,0,Millenials
132,Albania,2000,male,25-34 years,232000,Albania2000,"3,63,20,43,908",1299,17,Generation X
133,Albania,2000,male,55-74 years,177400,Albania2000,"3,63,20,43,908",1299,10,Silent
134,Albania,2000,female,75+ years,37800,Albania2000,"3,63,20,43,908",1299,2,G.I. Generation
135,Albania,2000,male,75+ years,24900,Albania2000,"3,63,20,43,908",1299,1,G.I. Generation
136,Albania,2000,female,15-24 years,263900,Albania2000,"3,63,20,43,908",1299,6,Generation X
137,Albania,2000,male,15-24 years,240000,Albania2000,"3,63,20,43,908",1299,5,Generation X
138,Albania,2000,female,35-54 years,332200,Albania2000,"3,63,20,43,908",1299,5,Boomers
139,Albania,2000,female,25-34 years,245800,Albania2000,"3,63,20,43,908",1299,3,Generation X
140,Albania,2000,male,35-54 years,374700,Albania2000,"3,63,20,43,908",1299,4,Boomers
141,Albania,2000,male,5-14 years,374900,Albania2000,"3,63,20,43,908",1299,1,Millenials
142,Albania,2000,female,5-14 years,324700,Albania2000,"3,63,20,43,908",1299,0,Millenials
143,Albania,2000,female,55-74 years,168000,Albania2000,"3,63,20,43,908",1299,0,Silent
144,Albania,2001,male,25-34 years,206484,Albania2001,"4,06,07,58,804",1451,22,Generation X
145,Albania,2001,male,35-54 years,378826,Albania2001,"4,06,07,58,804",1451,34,Boomers
146,Albania,2001,male,55-74 years,196670,Albania2001,"4,06,07,58,804",1451,11,Silent
147,Albania,2001,female,75+ years,47254,Albania2001,"4,06,07,58,804",1451,2,Silent
148,Albania,2001,male,15-24 years,256039,Albania2001,"4,06,07,58,804",1451,10,Millenials
149,Albania,2001,female,15-24 years,271359,Albania2001,"4,06,07,58,804",1451,9,Millenials
150,Albania,2001,female,35-54 years,370191,Albania2001,"4,06,07,58,804",1451,12,Boomers
151,Albania,2001,male,75+ years,31044,Albania2001,"4,06,07,58,804",1451,1,Silent
152,Albania,2001,female,55-74 years,189799,Albania2001,"4,06,07,58,804",1451,6,Silent
153,Albania,2001,male,5-14 years,321556,Albania2001,"4,06,07,58,804",1451,6,Millenials
154,Albania,2001,female,25-34 years,222771,Albania2001,"4,06,07,58,804",1451,4,Generation X
155,Albania,2001,female,5-14 years,307356,Albania2001,"4,06,07,58,804",1451,2,Millenials
156,Albania,2002,male,75+ years,31007,Albania2002,"4,43,50,78,648",1573,4,Silent
157,Albania,2002,male,25-34 years,206286,Albania2002,"4,43,50,78,648",1573,23,Generation X
158,Albania,2002,male,35-54 years,382139,Albania2002,"4,43,50,78,648",1573,35,Boomers
159,Albania,2002,male,55-74 years,198130,Albania2002,"4,43,50,78,648",1573,13,Silent
160,Albania,2002,male,15-24 years,263067,Albania2002,"4,43,50,78,648",1573,15,Millenials
161,Albania,2002,female,15-24 years,275970,Albania2002,"4,43,50,78,648",1573,14,Millenials
162,Albania,2002,female,35-54 years,375113,Albania2002,"4,43,50,78,648",1573,15,Boomers
163,Albania,2002,female,25-34 years,223685,Albania2002,"4,43,50,78,648",1573,7,Generation X
164,Albania,2002,female,75+ years,47407,Albania2002,"4,43,50,78,648",1573,1,Silent
165,Albania,2002,female,55-74 years,191712,Albania2002,"4,43,50,78,648",1573,4,Silent
166,Albania,2002,female,5-14 years,304850,Albania2002,"4,43,50,78,648",1573,1,Millenials
167,Albania,2002,male,5-14 years,319473,Albania2002,"4,43,50,78,648",1573,1,Millenials
168,Albania,2003,female,75+ years,49088,Albania2003,"5,74,69,45,913",2021,6,Silent
169,Albania,2003,male,55-74 years,201520,Albania2003,"5,74,69,45,913",2021,16,Silent
170,Albania,2003,male,35-54 years,386196,Albania2003,"5,74,69,45,913",2021,28,Boomers
171,Albania,2003,male,15-24 years,273235,Albania2003,"5,74,69,45,913",2021,15,Millenials
172,Albania,2003,female,15-24 years,283709,Albania2003,"5,74,69,45,913",2021,14,Millenials
173,Albania,2003,female,55-74 years,195699,Albania2003,"5,74,69,45,913",2021,9,Silent
174,Albania,2003,male,25-34 years,205433,Albania2003,"5,74,69,45,913",2021,9,Generation X
175,Albania,2003,female,25-34 years,222941,Albania2003,"5,74,69,45,913",2021,9,Generation X
176,Albania,2003,female,35-54 years,381760,Albania2003,"5,74,69,45,913",2021,13,Boomers
177,Albania,2003,male,75+ years,32667,Albania2003,"5,74,69,45,913",2021,1,Silent
178,Albania,2003,male,5-14 years,313204,Albania2003,"5,74,69,45,913",2021,4,Millenials
179,Albania,2003,female,5-14 years,298477,Albania2003,"5,74,69,45,913",2021,0,Millenials
180,Albania,2004,male,75+ years,35526,Albania2004,"7,31,48,65,176",2544,4,Silent
181,Albania,2004,male,35-54 years,391767,Albania2004,"7,31,48,65,176",2544,39,Boomers
182,Albania,2004,male,25-34 years,203938,Albania2004,"7,31,48,65,176",2544,16,Generation X
183,Albania,2004,female,15-24 years,292268,Albania2004,"7,31,48,65,176",2544,20,Millenials
184,Albania,2004,male,15-24 years,286768,Albania2004,"7,31,48,65,176",2544,19,Millenials
185,Albania,2004,female,75+ years,50970,Albania2004,"7,31,48,65,176",2544,3,Silent
186,Albania,2004,female,25-34 years,222389,Albania2004,"7,31,48,65,176",2544,11,Generation X
187,Albania,2004,male,55-74 years,207202,Albania2004,"7,31,48,65,176",2544,10,Silent
188,Albania,2004,female,35-54 years,391436,Albania2004,"7,31,48,65,176",2544,17,Boomers
189,Albania,2004,female,55-74 years,203841,Albania2004,"7,31,48,65,176",2544,3,Silent
190,Albania,2004,female,5-14 years,286705,Albania2004,"7,31,48,65,176",2544,3,Millenials
191,Albania,2004,male,5-14 years,302181,Albania2004,"7,31,48,65,176",2544,1,Millenials
192,Albania,2005,female,15-24 years,281922,Albania2005,"8,15,85,48,717",2931,0,Millenials
193,Albania,2005,female,25-34 years,190745,Albania2005,"8,15,85,48,717",2931,0,Generation X
194,Albania,2005,female,35-54 years,386513,Albania2005,"8,15,85,48,717",2931,0,Boomers
195,Albania,2005,female,5-14 years,276559,Albania2005,"8,15,85,48,717",2931,0,Millenials
196,Albania,2005,female,55-74 years,210998,Albania2005,"8,15,85,48,717",2931,0,Silent
197,Albania,2005,female,75+ years,53191,Albania2005,"8,15,85,48,717",2931,0,Silent
198,Albania,2005,male,15-24 years,281675,Albania2005,"8,15,85,48,717",2931,0,Millenials
199,Albania,2005,male,25-34 years,177519,Albania2005,"8,15,85,48,717",2931,0,Generation X
200,Albania,2005,male,35-54 years,380242,Albania2005,"8,15,85,48,717",2931,0,Boomers
201,Albania,2005,male,5-14 years,291367,Albania2005,"8,15,85,48,717",2931,0,Millenials
202,Albania,2005,male,55-74 years,214118,Albania2005,"8,15,85,48,717",2931,0,Silent
203,Albania,2005,male,75+ years,38471,Albania2005,"8,15,85,48,717",2931,0,Silent
204,Albania,2006,female,15-24 years,283138,Albania2006,"8,99,26,42,349",3235,0,Millenials
205,Albania,2006,female,25-34 years,186391,Albania2006,"8,99,26,42,349",3235,0,Generation X
206,Albania,2006,female,35-54 years,388746,Albania2006,"8,99,26,42,349",3235,0,Boomers
207,Albania,2006,female,5-14 years,267316,Albania2006,"8,99,26,42,349",3235,0,Millenials
208,Albania,2006,female,55-74 years,215907,Albania2006,"8,99,26,42,349",3235,0,Silent
209,Albania,2006,female,75+ years,56011,Albania2006,"8,99,26,42,349",3235,0,Silent
210,Albania,2006,male,15-24 years,286679,Albania2006,"8,99,26,42,349",3235,0,Millenials
211,Albania,2006,male,25-34 years,174092,Albania2006,"8,99,26,42,349",3235,0,Generation X
212,Albania,2006,male,35-54 years,379076,Albania2006,"8,99,26,42,349",3235,0,Boomers
213,Albania,2006,male,5-14 years,282678,Albania2006,"8,99,26,42,349",3235,0,Millenials
214,Albania,2006,male,55-74 years,219360,Albania2006,"8,99,26,42,349",3235,0,Silent
215,Albania,2006,male,75+ years,40782,Albania2006,"8,99,26,42,349",3235,0,Silent
216,Albania,2007,male,75+ years,42366,Albania2007,"10,70,10,11,897",3863,8,Silent
217,Albania,2007,male,35-54 years,378626,Albania2007,"10,70,10,11,897",3863,29,Boomers
218,Albania,2007,male,55-74 years,224160,Albania2007,"10,70,10,11,897",3863,14,Silent
219,Albania,2007,female,75+ years,57404,Albania2007,"10,70,10,11,897",3863,3,Silent
220,Albania,2007,male,25-34 years,172494,Albania2007,"10,70,10,11,897",3863,9,Generation X
221,Albania,2007,female,15-24 years,281080,Albania2007,"10,70,10,11,897",3863,13,Millenials
222,Albania,2007,male,15-24 years,288349,Albania2007,"10,70,10,11,897",3863,13,Millenials
223,Albania,2007,female,25-34 years,183629,Albania2007,"10,70,10,11,897",3863,8,Generation X
224,Albania,2007,female,55-74 years,221120,Albania2007,"10,70,10,11,897",3863,9,Silent
225,Albania,2007,female,35-54 years,391811,Albania2007,"10,70,10,11,897",3863,14,Boomers
226,Albania,2007,male,5-14 years,272497,Albania2007,"10,70,10,11,897",3863,4,Generation Z
227,Albania,2007,female,5-14 years,256808,Albania2007,"10,70,10,11,897",3863,0,Generation Z
228,Albania,2008,male,25-34 years,172855,Albania2008,"12,88,13,52,688",4672,21,Generation X
229,Albania,2008,male,35-54 years,377119,Albania2008,"12,88,13,52,688",4672,37,Boomers
230,Albania,2008,male,55-74 years,228672,Albania2008,"12,88,13,52,688",4672,21,Silent
231,Albania,2008,female,75+ years,59369,Albania2008,"12,88,13,52,688",4672,5,Silent
232,Albania,2008,female,15-24 years,276073,Albania2008,"12,88,13,52,688",4672,20,Millenials
233,Albania,2008,female,25-34 years,182663,Albania2008,"12,88,13,52,688",4672,9,Generation X
234,Albania,2008,female,35-54 years,393832,Albania2008,"12,88,13,52,688",4672,19,Boomers
235,Albania,2008,male,75+ years,44574,Albania2008,"12,88,13,52,688",4672,2,Silent
236,Albania,2008,male,15-24 years,286702,Albania2008,"12,88,13,52,688",4672,11,Millenials
237,Albania,2008,female,55-74 years,226448,Albania2008,"12,88,13,52,688",4672,7,Silent
238,Albania,2008,male,5-14 years,262464,Albania2008,"12,88,13,52,688",4672,7,Generation Z
239,Albania,2008,female,5-14 years,246288,Albania2008,"12,88,13,52,688",4672,1,Generation Z
240,Albania,2009,female,15-24 years,270003,Albania2009,"12,04,42,12,904",4387,0,Millenials
241,Albania,2009,female,25-34 years,182712,Albania2009,"12,04,42,12,904",4387,0,Generation X
242,Albania,2009,female,35-54 years,394286,Albania2009,"12,04,42,12,904",4387,0,Boomers
243,Albania,2009,female,5-14 years,236174,Albania2009,"12,04,42,12,904",4387,0,Generation Z
244,Albania,2009,female,55-74 years,233302,Albania2009,"12,04,42,12,904",4387,0,Silent
245,Albania,2009,female,75+ years,61582,Albania2009,"12,04,42,12,904",4387,0,Silent
246,Albania,2009,male,15-24 years,283448,Albania2009,"12,04,42,12,904",4387,0,Millenials
247,Albania,2009,male,25-34 years,174955,Albania2009,"12,04,42,12,904",4387,0,Generation X
248,Albania,2009,male,35-54 years,374365,Albania2009,"12,04,42,12,904",4387,0,Boomers
249,Albania,2009,male,5-14 years,253007,Albania2009,"12,04,42,12,904",4387,0,Generation Z
250,Albania,2009,male,55-74 years,234570,Albania2009,"12,04,42,12,904",4387,0,Silent
251,Albania,2009,male,75+ years,47331,Albania2009,"12,04,42,12,904",4387,0,Silent
252,Albania,2010,male,55-74 years,241852,Albania2010,"11,92,69,53,259",4359,20,Silent
253,Albania,2010,male,35-54 years,371611,Albania2010,"11,92,69,53,259",4359,20,Generation X
254,Albania,2010,male,25-34 years,179720,Albania2010,"11,92,69,53,259",4359,9,Generation X
255,Albania,2010,male,75+ years,50767,Albania2010,"11,92,69,53,259",4359,2,Silent
256,Albania,2010,male,15-24 years,279508,Albania2010,"11,92,69,53,259",4359,10,Millenials
257,Albania,2010,female,25-34 years,183579,Albania2010,"11,92,69,53,259",4359,6,Generation X
258,Albania,2010,female,75+ years,64415,Albania2010,"11,92,69,53,259",4359,2,Silent
259,Albania,2010,female,35-54 years,394593,Albania2010,"11,92,69,53,259",4359,12,Generation X
260,Albania,2010,female,55-74 years,241491,Albania2010,"11,92,69,53,259",4359,7,Silent
261,Albania,2010,female,15-24 years,263581,Albania2010,"11,92,69,53,259",4359,6,Millenials
262,Albania,2010,female,5-14 years,223969,Albania2010,"11,92,69,53,259",4359,2,Generation Z
263,Albania,2010,male,5-14 years,240939,Albania2010,"11,92,69,53,259",4359,0,Generation Z
264,Antigua and Barbuda,1985,female,15-24 years,7709,Antigua and Barbuda1985,"24,09,23,926",3850,0,Generation X
265,Antigua and Barbuda,1985,female,25-34 years,6344,Antigua and Barbuda1985,"24,09,23,926",3850,0,Boomers
266,Antigua and Barbuda,1985,female,35-54 years,6173,Antigua and Barbuda1985,"24,09,23,926",3850,0,Silent
267,Antigua and Barbuda,1985,female,5-14 years,7339,Antigua and Barbuda1985,"24,09,23,926",3850,0,Generation X
268,Antigua and Barbuda,1985,female,55-74 years,3778,Antigua and Barbuda1985,"24,09,23,926",3850,0,G.I. Generation
269,Antigua and Barbuda,1985,female,75+ years,949,Antigua and Barbuda1985,"24,09,23,926",3850,0,G.I. Generation
270,Antigua and Barbuda,1985,male,15-24 years,7667,Antigua and Barbuda1985,"24,09,23,926",3850,0,Generation X
271,Antigua and Barbuda,1985,male,25-34 years,6194,Antigua and Barbuda1985,"24,09,23,926",3850,0,Boomers
272,Antigua and Barbuda,1985,male,35-54 years,5970,Antigua and Barbuda1985,"24,09,23,926",3850,0,Silent
273,Antigua and Barbuda,1985,male,5-14 years,7304,Antigua and Barbuda1985,"24,09,23,926",3850,0,Generation X
274,Antigua and Barbuda,1985,male,55-74 years,2723,Antigua and Barbuda1985,"24,09,23,926",3850,0,G.I. Generation
275,Antigua and Barbuda,1985,male,75+ years,424,Antigua and Barbuda1985,"24,09,23,926",3850,0,G.I. Generation
276,Antigua and Barbuda,1986,female,15-24 years,7668,Antigua and Barbuda1986,"29,04,40,148",4740,0,Generation X
277,Antigua and Barbuda,1986,female,25-34 years,6209,Antigua and Barbuda1986,"29,04,40,148",4740,0,Boomers
278,Antigua and Barbuda,1986,female,35-54 years,6101,Antigua and Barbuda1986,"29,04,40,148",4740,0,Silent
279,Antigua and Barbuda,1986,female,5-14 years,6907,Antigua and Barbuda1986,"29,04,40,148",4740,0,Generation X
280,Antigua and Barbuda,1986,female,55-74 years,3764,Antigua and Barbuda1986,"29,04,40,148",4740,0,G.I. Generation
281,Antigua and Barbuda,1986,female,75+ years,1014,Antigua and Barbuda1986,"29,04,40,148",4740,0,G.I. Generation
282,Antigua and Barbuda,1986,male,15-24 years,7563,Antigua and Barbuda1986,"29,04,40,148",4740,0,Generation X
283,Antigua and Barbuda,1986,male,25-34 years,6023,Antigua and Barbuda1986,"29,04,40,148",4740,0,Boomers
284,Antigua and Barbuda,1986,male,35-54 years,5947,Antigua and Barbuda1986,"29,04,40,148",4740,0,Silent
285,Antigua and Barbuda,1986,male,5-14 years,6827,Antigua and Barbuda1986,"29,04,40,148",4740,0,Generation X
286,Antigua and Barbuda,1986,male,55-74 years,2771,Antigua and Barbuda1986,"29,04,40,148",4740,0,G.I. Generation
287,Antigua and Barbuda,1986,male,75+ years,476,Antigua and Barbuda1986,"29,04,40,148",4740,0,G.I. Generation
288,Antigua and Barbuda,1987,female,15-24 years,7583,Antigua and Barbuda1987,"33,71,74,852",5595,0,Generation X
289,Antigua and Barbuda,1987,female,25-34 years,6101,Antigua and Barbuda1987,"33,71,74,852",5595,0,Boomers
290,Antigua and Barbuda,1987,female,35-54 years,6059,Antigua and Barbuda1987,"33,71,74,852",5595,0,Silent
